Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	CellType
SLC44A2	-0.5728286121292486	7.912632432739047	-4.058684472720741	6.913279674882736e-5	0.00447266894062736	1.366315048529855	glomeruli
MIB1	-0.5636893983385736	7.1166884393745	-4.039158118178855	7.470142537437554e-5	0.004711357821724767	1.3540032704425018	glomeruli
NOTCH2	-0.6063101774482039	6.7049738201907445	-4.031915819911509	7.687341931544759e-5	0.0048180415555956774	1.3529976918739743	glomeruli
MYC	0.9507132086432373	6.22473690526759	4.023505255348281	7.947124171754515e-5	0.00491936797496014	1.3513950943505462	glomeruli
PRRC2C	-0.5938381532360046	6.761319357052381	-4.011101388429227	8.34554867978685e-5	0.00510299769273796	1.2893200920154513	glomeruli
SEPTIN7	-0.4472348168024213	8.039895231078367	-4.027372506186474	7.826652822742126e-5	0.004874886615307953	1.2590719083880453	glomeruli
SPI1	0.8680958720274229	6.025254504204055	3.993052311994067	8.959404565038351e-5	0.005412343914349674	1.2431575481601644	glomeruli
AKT3	-0.5929842415684613	6.689883976364508	-3.980117447581527	9.425490333574192e-5	0.0056261200633977385	1.1770731579431066	glomeruli
PRY	1.2559080378795782	5.335974535623475	4.019763888474583	8.065352500014595e-5	0.0049619236116654215	1.1626749387700244	glomeruli
PCMTD1	-0.6075312984101537	7.0523341505610855	-3.969400016871025	9.829051664951868e-5	0.005797984123302196	1.1208864214372465	glomeruli
TM9SF3	-0.5252008036643323	7.521669372422439	-3.9764647884553996	9.56122662300395e-5	0.005673371631685421	1.1196550907313885	glomeruli
SEPTIN2	-0.4272545097368775	8.04546421621921	-3.984084594922687	9.280143936757442e-5	0.005572531939988241	1.1081406147753068	glomeruli
CALR	-0.6362708340063581	8.703467543775673	-3.9943869051884153	8.912582527206585e-5	0.005412343914349674	1.0918255056041453	glomeruli
RPS4Y1	1.3106687238296457	6.374164630400747	3.9332941411445947	1.1312917367669756e-4	0.006557568518092041	1.0357040345580275	glomeruli
MTSS1	-0.6033273473126581	6.641995309777612	-3.9430713724930806	1.0891340530086263e-4	0.006349904816029364	1.035345504099623	glomeruli
SEC14L1	-0.6456012674967238	7.788224391719587	-3.9536551748346156	1.0451824888121629e-4	0.006129292396379163	0.9927396573777232	glomeruli
TMEM47	-0.7169669116999722	6.0940331200677385	-3.8960009847099704	1.3067618624146293e-4	0.007160769375023991	0.9034319990508486	glomeruli
PHAX	0.6423770344771087	8.493804835910215	3.926045105814998	1.1635440067717462e-4	0.006705758218337397	0.8861314149046011	glomeruli
UBB	-0.7051268127313661	7.4721466434965205	-3.9049821659940176	1.2622845083258875e-4	0.007032327249717777	0.8742506195848758	glomeruli
SUN2	-0.4958970472176261	7.672187923268096	-3.914851068320225	1.215069012557517e-4	0.006962692604529588	0.8684554175229353	glomeruli
PCNP	-0.4426074667399288	7.5714180328414775	-3.9062661369796463	1.2560445524096753e-4	0.007032327249717777	0.8602108692253632	glomeruli
USP18	0.7359421109284723	7.145382933964926	3.8880928444602296	1.3471527181341546e-4	0.00733895896554206	0.8549553865492827	glomeruli
CITED2	-0.668785915474569	7.737418218573062	-3.9097714002798005	1.2391580938560088e-4	0.007032327249717777	0.8354694259860045	glomeruli
FKBP1A	-0.5426195634898081	7.884834191579377	-3.8981039225111807	1.296216104069395e-4	0.007160769375023991	0.7976260280426004	glomeruli
ARMCX3	-0.6143509821987511	6.967003015471439	-3.8774292224423186	1.4034955627117694e-4	0.007526338771590173	0.7901454308165681	glomeruli
SCARB2	-0.5528979458396494	7.236524448993039	-3.8793368268502695	1.393254994675591e-4	0.007511591982046681	0.7876571157962893	glomeruli
KLF2	0.8227481647390259	8.160096839619115	3.905307539892896	1.2607004499343204e-4	0.007032327249717777	0.7851279860538174	glomeruli
TNNT2	-0.5551481406745253	7.179876325813	-3.8867906073013203	1.3539164425860402e-4	0.00733895896554206	0.783125501766226	glomeruli
MYO1D	-0.5989281635811273	6.646995295912738	-3.8643619893285854	1.4755875700366272e-4	0.007804154297204435	0.7660028733103683	glomeruli
YWHAZ	-0.3774830808033883	8.575521639139767	-3.8969687545901794	1.30189864218086e-4	0.007160769375023991	0.7571970586400099	glomeruli
IQGAP2	-0.6283089942546501	7.334762485323275	-3.8705328069110045	1.4411162463961568e-4	0.007686975382372692	0.7407751891543288	glomeruli
MRPS11	0.7513246885569562	5.9232506224831925	3.842421338294661	1.6045908429830703e-4	0.008424521975620016	0.7297265130104575	glomeruli
SEL1L	-0.5148272009485045	7.494691342720021	-3.8638205629611733	1.478649098991666e-4	0.007804154297204435	0.7049531824918365	glomeruli
RPL7A	0.3801868803114524	10.06698456265555	3.908002688100122	1.247651672804911e-4	0.007032327249717777	0.6883634330734276	glomeruli
SAR1A	-0.5843993581363321	6.784798287008892	-3.8374427440517533	1.635315648623735e-4	0.008496862862382805	0.6777411237621989	glomeruli
STX1B	0.7085150311383828	6.266363393042156	3.8235744688823368	1.723867766147364e-4	0.008775099471535923	0.6640063465876427	glomeruli
DLC1	-0.6509046143002829	6.144999211266924	-3.8268045623880216	1.7028460865204344e-4	0.008712316610013732	0.6522932437970734	glomeruli
PMEPA1	-0.7077641022350939	6.203267086348736	-3.8211720402538027	1.7396620751463626e-4	0.008810773378569557	0.6511548208316036	glomeruli
DYNLRB1	-0.5767343488386835	7.142428906253974	-3.8311004222856933	1.6752643106021116e-4	0.008615154106009219	0.6380434808028808	glomeruli
AIDA	-0.49775701998497096	7.057080207347477	-3.8141325454918493	1.7867347337449283e-4	0.009003706487434242	0.5793315725836727	glomeruli
FAM90A1	0.8478101223928257	6.915139966032403	3.802119295388498	1.8698634314395066e-4	0.009247379480109274	0.5735260277573673	glomeruli
QKI	-0.4330649977486307	7.973674976525608	-3.8356704009007494	1.646387369171031e-4	0.00851029512270469	0.5712344216689145	glomeruli
TMEM248	-0.5301649272723259	6.774938464267872	-3.801820564327334	1.8719765002614506e-4	0.009247379480109274	0.558801119433662	glomeruli
